user,location,verified,followers,content,polarity
PrimeSocial,"Columbus, OH",TRUE,"14,009","New releases from this week you need to hear:

Donald Glover Presents- Childish Gambino 
The Difference- Flume , To… https://t.co/1CqEh2lfm7",-0.031818182
Electric_Hawk,Somewhere Else,FALSE,"12,996","Music mastermind @flumemusic has paired up with @ToroyMoi to create the catchy drum and bass tune, “The Difference.… https://t.co/BNpE38z9Jg",-0.15
Electric_Hawk,Somewhere Else,FALSE,"12,996","This is a PSA: Electric Hawk favorite, Flume, has just announced a 3-night run at Red Rocks Amphitheater in Denver,… https://t.co/pST8nUxgYo",0.25
jwave,Tokyo,FALSE,"12,447",「THE DIFFERENCE (FEAT. TORO Y MOI)」 FLUME 18:08 https://t.co/3wTAUM8Hgs,
jwave,Tokyo,FALSE,"12,447",「THE DIFFERENCE」 FLUME FEAT.TORO Y MOI 21:14 https://t.co/Jo0zPT7wug,
vintagepoison,,FALSE,"12,282",flume said: excuse me y'all this is MY countdown,-0.05
bassdaddyethan,neptune bitch,FALSE,"11,924",i should have went to okee instead of buku highkey but all i could think about was seeing flume voyd and illneium HAHAHAHAHAHAH,
bassdaddyethan,neptune bitch,FALSE,"11,924",all i can think about is not seeing flume and illenium right now i got a rave tonight at least to distract me from… https://t.co/fw7iSHmzzb,-0.007142857
lizzywol,"Austin, TX",TRUE,"11,881","Guys stop sending me EDM, I do not listen to EDM anymore (though I still dabble in the occasional Flume, or sorta c… https://t.co/ISpt8Hysty",
enyekung,Zion. ,FALSE,"11,869","@Hoekage77 While you're at it, try Mansionair, Chvrches, Flume, etc",
heartednotes,The Netherlands,FALSE,"11,659",i was looking forward to this trip so much :( two weeks in the US to 4 different states to see sooo many of my frie… https://t.co/ZPoyVVpHwu,0.233333333
l1sangyn,"Melbourne, Australia",FALSE,"11,608",@triplej @flumemusic Eat my ass flume 🍑🍑😩😩,
RCTGuests,,FALSE,"11,582",Guest 198 wants to go on something more thrilling than the Log Flume,0.316666667
sembarimusic,ALL MY ♫ ↠,FALSE,"11,224",NEW FLUME! Let’s remix it 🥶 @flumemusic @ToroyMoi https://t.co/kzV9ZUQN1x,0.136363636
HexCougar,"Pasadena, CA",TRUE,"11,075",the new Flume X Toro y Moi track feels like sunshine and the smell of sunscreen mixed with cigarette smoke and ice cream aka summer in LA,0.068181818
KristelMarizz,"Florence, Italy",FALSE,"10,506","Artemis groaned and kicked open the wardrobe door, yelling, “Oh my gosh, Nikolai Flume! Are you an idiot?!” 

He sa… https://t.co/guwPZGPu8g",-0.4
TashaBaxter,Auditory Cortex ,TRUE,"10,432","Flume / toro y moi together is one thing, and then to flip the dnb/jungle tip... that was nice.",0.6
192,"Santiago, Chile",FALSE,"10,358",Flume feat. Toro y Moi - The Difference (Official Music Video) https://t.co/9JqvJBqOEb,
FishJournals,,FALSE,"10,335",The impacts of bioturbation by common marsh crabs on sediment erodibility: A laboratory flume investigation… https://t.co/JyfpvxdPFa,-0.3
EletroVibez,Brazil,FALSE,"10,212",". Big Z &amp; Bodin - What A Man Gotta Do
. Flume feat. Toro y Moi - The Difference
. Porter Robinson - Something Comfo… https://t.co/E4Lgvb3iUQ",
judeblay,"South London, Capsule Corp",FALSE,"10,158",Flume just released a banger with Toro y Moi sounds like it’s destined for FIFA 21,
bandwagonPH,Philippines,FALSE,"10,088",Splendour in the Grass 2020 rescheduled to October https://t.co/9KNfpJblj4 https://t.co/NRCdH3Jrep,
