,user,location,verified,followers,content,polarity
823,jungmulababy,,FALSE,"1,666",this flume x toro y moi is spicy,
468,VictorRVillar,"Principado de Asturias, España",FALSE,"1,658",Flume and Toro y Moi Team Up for New Single “The Difference”: Stream https://t.co/YugI4q1O7y,0.032467532
386,CuratorCulture,"Cape Town, South Africa",FALSE,"1,644","Really enjoying RUDEBWOY (CJ Fly), Something Comforting (Porter Robinson) and The Difference (Flume x Toro y Moi) t… https://t.co/fxz3IkcuGa",0.65
1037,CuratorCulture,"Cape Town, South Africa",FALSE,"1,644",Flume and Porter Robinson drop new songs the day after each other. I am happy https://t.co/EYUT8PL8LO,0.270454545
953,HomoHulk,"Columbus, Ohio",FALSE,"1,640",Flume ate ass on stage don’t put that on us lmfao https://t.co/tRCIqTOqrb,
90,KahliaBakosi,"Brixton, England",FALSE,"1,619",Toro Y Moi x Flume 🤝🏆 so skippy and vibey 🔥🔥 https://t.co/ctAiLkHmer,
748,ireneephaan,"Sydney, New South Wales",FALSE,"1,613",New flume single is pretty goooooood,0.104978355
19,KissMeCole,562,FALSE,"1,581","Uzi, Flume, I LOVE NEW MUSIC ON COOK DAY 💪🏻💪🏻💪🏻",0.318181818
977,sprinkletitz,"540, vʌ",FALSE,"1,578",just here to say I love Flume,0.5
687,sprinkletitz,"540, vʌ",FALSE,"1,578",me when I finally see Flume https://t.co/zweaU3e2aA,
309,flownicolau,Ladera Heights,FALSE,"1,569","On Top de Flume, T-Shirt https://t.co/OZYfuwwpPv #NowPlaying",0.5
68,flownicolau,Ladera Heights,FALSE,"1,569","What About Us de Flume, Chet Faker https://t.co/mhPIA8dAwg #NowPlaying",
372,flownicolau,Ladera Heights,FALSE,"1,569","😺✏ — 1. Travis Scott - HIGHEST IN THE ROOM REMIX
2. Flume - This Sons Is Not About A Girl
3. Frank Ocean - Thinkin'… https://t.co/pxpfAycy49",
347,mineifiwildbot,,FALSE,"1,554",that flume shit is so funny,0.025
964,mmarcelandreas,"Berlin, Germany",FALSE,"1,534","this new #flume song was exactly what I needed today 😍🥰🥰🥰!

https://t.co/RSCULknWpz https://t.co/ibuK8JQcIf",0.193181818
125,mmarcelandreas,"Berlin, Germany",FALSE,"1,534","#NewMusicFriday updates w/ 

Ellie Goulding, blackbear
Niall Horan
Don Toliver 
Grouplove
Rita Ora
OneRepublic
The… https://t.co/6RG5irZzVT",
260,morgdanielle_,"New Orleans, LA",FALSE,"1,528",I WAS SUPPOSED TO SEE FLUME NEXT WEEKEND,
418,deandrejm,Moulin Rouge,FALSE,"1,522",Flume feat. Toro y Moi - The Difference (Official Music Video) https://t.co/zwwoAGrvl4 via @YouTube,
1081,YEAUX_,Dragonstone,FALSE,"1,514",@flumemusic @ToroyMoi Flume with drum n bass??? 😮😮 I love it 🥳,0.175
46,__flume,"Viana do Castelo, Portugal",FALSE,"1,500",this aint it chief https://t.co/8qWVDDdJsi,
610,__flume,"Viana do Castelo, Portugal",FALSE,"1,500",ppl who smoke? bye yall https://t.co/1prm3YGoWW,
1143,RealTomH,"London, England",FALSE,"1,498",@DamCou Starmer needs to go on a log flume in a bad baseball cap,-0.7
512,DesireeLindgren,,FALSE,"1,496",I really wanna see Bassnectar Rezz Flume Modestep Pluko G Jones Odesza Hi I’m ghost Cashmere Cat Panda eyes Louis t… https://t.co/USff4mmmOR,0.2
683,reverendentity,"Wichita, Kansas",FALSE,"1,492","Flume on his new Toro y Moi collaboration, “The Difference” https://t.co/CcH7KdZ8p0",0.136363636
